old_slug,canonical_slug,old_countries,old_types,sample_name_en
floor-layers-and-tile-setters,floor-layer-and-tile-setter,1,NCO2015,Floor Layers and Tile Setters
florists,florist,1,SOC,Florists
food-and-related-products-machine-operators,food-and-related-product-machine-operator,1,NCO2015,Food and Related Products Machine Operators
food-service-managers,food-service-manager,1,SOC,Food Service Managers
forestry-and-related-workers,forestry-and-related-worker,1,SOC,Forestry and related workers
forklift-operators,forklift-operator,1,CNO,Forklift Operators
forklift-truck-drivers,forklift-truck-driver,1,SOC,Fork-lift truck drivers
fumigators-and-other-pest-and-weed-controllers,fumigator-and-other-pest-and-weed-controller,1,CNO,Fumigators and Other Pest and Weed Controllers
fur-and-leather-preparing-machine-operators,fur-and-leather-preparing-machine-operator,1,NCO2015,Fur and Leather Preparing Machine Operators
gallery-museum-and-library-technicians,gallery-museum-and-library-technician,1,CNO,"Gallery, Museum and Library Technicians"
garbage-and-recycling-collectors,garbage-and-recycling-collector,1,NCO2015,Garbage And Recycling Collectors
garden-and-horticultural-labourers,garden-and-horticultural-labourer,1,NCO2015,Garden and Horticultural Labourers
garment-and-related-patternmakers-and-cutters,garment-and-related-patternmaker-and-cutter,1,NCO2015,Garment and Related Patternmakers and Cutters
gas-fitters,gas-fitter,1,NOC,Gas fitters
generalist-medical-practitioners,generalist-medical-practitioner,1,SOC,Generalist medical practitioners
geographers,geographer,1,SOC,Geographers
geologists-and-geophysicists,geologist-and-geophysicist,1,NCO2015,Geologists and Geophysicists
glass-and-ceramics-plant-operators,glass-and-ceramics-plant-operator,1,NCO2015,Glass and Ceramics Plant Operators
glaziers,glazier,2,NOC|SOC,Glaziers
government-regulatory-associate-professionals-not-elsewhere-classified,government-regulatory-associate-professional-not-elsewhere-classified,1,NCO2015,Government Regulatory Associate Professionals Not Elsewhere Classified
government-social-benefits-official,government-social-benefit-official,1,NCO2015,Government Social Benefits Official
government-tax-and-excise-officials,government-tax-and-excise-official,1,NCO2015,Government Tax and Excise Officials
graphic-and-multimedia-designers,graphic-and-multimedia-designer,1,SOC,Graphic and multimedia designers
graphic-designers,graphic-designer,1,SOC,Graphic Designers
hand-and-pedal-vehicle-drivers,hand-and-pedal-vehicle-driver,1,NCO2015,Hand and Pedal Vehicle Drivers
hand-packers,hand-packer,1,NCO2015,Hand Packers
handicraft-worker-in-textile-leather-and-related-materials,handicraft-worker-in-textile-leather-and-related-material,1,NCO2015,"Handicraft Worker in Textile, Leather and Related Materials"
handicraft-worker-in-wood-basketry-and-related-materials,handicraft-worker-in-wood-basketry-and-related-material,1,NCO2015,"Handicraft Worker in Wood, Basketry and Related Materials"
health-associate-professionals-not-elsewhere-classified,health-associate-professional-not-elsewhere-classified,1,NCO2015,Health Associate Professionals Not Elsewhere Classified
health-professionals-not-elsewhere-classified,health-professional-not-elsewhere-classified,1,CNO,Health Professionals Not Elsewhere Classified
health-services-manager,health-service-manager,1,NCO2015,Health Services Manager
heavy-truck-and-lorry-drivers,heavy-truck-and-lorry-driver,1,NCO2015,Heavy Truck and Lorry Drivers
historians,historian,1,SOC,Historians
